courseNo,abbrName,sections,genEdType,studyProgram
2502291,DESIGN EVERYDAY,1,HU,I
2541152,C/C PROB SOLV,1,HU,I
2236103,RUS LANG CULT,1,HU,I
2541154,COLOR AESTHETICS,1,HU,I
2541156,ARCH ENV FILM,1,HU,I
2542001,ART DSGN FLD,1,HU,I
2541162,POSTMOD PHOTO,1,HU,I
2541169,HIST ANIMATION,2,HU,I
2542003,DSGN THNK INNV,1,HU,I
2541176,JP DSGN CON,1,HU,I
3503101,CL MUS SCRN,1,HU,I
2236103,RUS LANG CULT,1,HU,I
2296352,21C BUDDHISTS,1,HU,I
3914101,REC QUAL LIFE DEV,1,IN,I
0201251,P2 CONTROL,1,IN,I
0201232,MULTI STUD RUR DEV,1,IN,I
0201151,OUR ENVIRONMENT,1-2,IN,I
0201107,LRN STUD ACT,1,IN,I
5695102,PROF COMM SKL INNO,1,IN,I
0201123,CULT TRAD TH LIFE,1,IN,I
0201234,LOC GLOB ISS,1,IN,I
0201127,QUAL WORK MGT,1,IN,I
0201125,MGT DIFF CULT,1,IN,I
0295106,WELL LIFE EXT,1,IN,I
